epoch,train_loss,loss,exact_accuracy,outcome_accuracy,matrix_outcome_accuracy,top_mean_points,ev_mean_points,ev_exact_accuracy,ev_outcome_accuracy,best_loss,stale_epochs,seconds
1,1.5378299693213828,1.4382719377226478,0.12737293325168403,0.5780771586037967,0.5829761175750153,1.2880179628495612,1.3076137987344356,0.12941416615635845,0.5723617064707083,1.4382719377226478,0,6.166
2,1.4405217246202924,1.4367485158563658,0.12553582363747703,0.5833843641559502,0.5866503368034293,1.2798530312308634,1.3070014288630332,0.12900591957542357,0.5737905695039804,1.4367485158563658,0,5.888
3,1.4096904874526592,1.4126347553781111,0.12655644008981426,0.589303939579506,0.5888956929985711,1.2831190038783424,1.3292508675239845,0.13002653602776076,0.5744029393753828,1.4126347553781111,0,5.991
4,1.390516565466324,1.427049417815955,0.1257399469279445,0.5790977750561339,0.5799142682180036,1.2712798530312308,1.278220044907124,0.12349459073280261,0.5446009389671361,1.4126347553781111,1,5.844
5,1.3718710148997724,1.4697348190390545,0.12186160440906307,0.5695039804041642,0.5668503776280873,1.2373953868136354,1.260257195345989,0.1253317003470096,0.5352112676056338,1.4126347553781111,2,5.922
6,1.357608005790765,1.4982395615716886,0.12369871402327005,0.576852418860992,0.5780771586037967,1.2923045519493774,1.2988364972443356,0.12431108389467238,0.5635844049806082,1.4126347553781111,3,6.02
7,1.335459580354612,1.58161902834041,0.12022861808532354,0.5772606654419269,0.5729740763421106,1.2392324964278425,1.2467850581751379,0.1200244947948561,0.5560318432333129,1.4126347553781111,4,5.727
8,1.3163339323851606,1.582310683144723,0.12308634415186773,0.5733823229230455,0.5717493365993059,1.2743417023882424,1.2872014696876914,0.1239028373137375,0.5601143090426618,1.4126347553781111,5,5.699
9,1.3060813730479135,1.637902544600352,0.10920596040008165,0.5641967748520106,0.5607266789140641,1.190651153296591,1.2175954276382934,0.11288017962849561,0.5460298020004083,1.4126347553781111,6,5.741
10,1.2775625263159476,1.688090161173459,0.11145131659522352,0.5490916513574199,0.5448050622576036,1.1851398244539701,1.2161665646050215,0.11635027556644213,0.5360277607675036,1.4126347553781111,7,5.639
11,1.252329095704317,1.8181454532850663,0.10614411104307002,0.5427638293529292,0.5415390896101245,1.117166768728312,1.1488058787507656,0.10981833027148398,0.5254133496631965,1.4126347553781111,8,5.778
12,1.2397591265176187,1.8031442150774721,0.11226780975709329,0.5452133088385385,0.5478669116146152,1.1745254133496632,1.187793427230047,0.11410491937130027,0.5292916921820779,1.4126347553781111,9,5.719
13,1.2062197727722395,1.8787979688126595,0.0998162890385793,0.5407225964482547,0.5419473361910594,1.1224739742804655,1.152275974688712,0.10369463155746071,0.525617472953664,1.4126347553781111,10,5.89
14,1.1862640276063565,2.0089484618425026,0.10838946723821188,0.5458256787099408,0.5448050622576036,1.1622780159216166,1.1775872627066748,0.10920596040008165,0.532557664829557,1.4126347553781111,11,5.598
15,1.15371512377682,2.112407783363079,0.10287813839559094,0.5317411716676873,0.5315370483772198,1.1367626046131865,1.1514594815268422,0.10471524800979792,0.5190855276587059,1.4126347553781111,12,5.734
16,1.1292186266566293,2.2011138251616678,0.0930802204531537,0.5319452949581547,0.5345988977342315,1.0787915901204328,1.0840987956725863,0.09267197387221882,0.5219432537252501,1.4126347553781111,13,6.206
17,1.098243416581815,2.255800707142167,0.10349050826699327,0.5337824045723617,0.5292916921820779,1.141661563584405,1.1590120432741375,0.10675648091447235,0.5217391304347826,1.4126347553781111,14,5.655
18,1.0649678929070379,2.3926759141881897,0.09736680955296999,0.5286793223106756,0.5286793223106756,1.0889977546438048,1.1034905082669932,0.09899979587670953,0.5180649112063687,1.4126347553781111,15,7.403
19,1.050565311887687,2.5536990214377235,0.09552969993876301,0.5115329659114105,0.5076546233925291,1.091855480710349,1.107572974076342,0.09818330271483976,0.49683608899775467,1.4126347553781111,16,9.607
20,1.0129519573713348,2.6469378229013922,0.09573382322923045,0.5223515003061849,0.5219432537252501,1.1087977138191467,1.102061645233721,0.09471320677689324,0.5170442947540315,1.4126347553781111,17,7.327
21,0.9939054745658366,2.5754115983986763,0.09593794651969789,0.5266380894060012,0.5284751990202082,1.102469891814656,1.110838946723821,0.09614206981016533,0.5192896509491733,1.4126347553781111,18,7.022
22,0.9839430656212699,2.6673445087910963,0.09348846703408858,0.5158195550112268,0.5154113084302919,1.0857317819963257,1.0912431108389467,0.09410083690549091,0.5094917330067361,1.4126347553781111,19,7.149
23,0.9512382321828065,2.813809682992459,0.09226372729128393,0.5137783221065524,0.5137783221065524,1.0751173708920188,1.081649316186977,0.09328434374362114,0.5039804041641152,1.4126347553781111,20,6.77
