epoch,train_loss,loss,exact_accuracy,outcome_accuracy,matrix_outcome_accuracy,top_mean_points,ev_mean_points,ev_exact_accuracy,ev_outcome_accuracy,seconds,best_loss,stale_epochs
1,2.005197631063931,1.7425170651161566,0.12696468667074914,0.5782812818942641,0.562972035109206,1.255154113084303,1.2518881404368238,0.12267809757093284,0.5296999387630129,5.995,1.7425170651161566,0
2,1.7433695977626007,1.6892705382948434,0.1263523167993468,0.5864462135129618,0.5848132271892222,1.2794447846499286,1.302714839763217,0.12798530312308634,0.5658297611757501,5.828,1.6892705382948434,0
3,1.7086112707179417,1.6752005821102662,0.12655644008981426,0.5784854051847316,0.5752194325372525,1.241273729332517,1.2980200040824659,0.13084302918963053,0.5419473361910594,6.179,1.6752005821102662,0
4,1.6941873531553957,1.674013645533616,0.12839354970402123,0.5821596244131455,0.5856297203510921,1.275974688711982,1.286589099816289,0.12614819350887937,0.5684833639518269,5.916,1.674013645533616,0
5,1.6832381411972888,1.6690059745280104,0.1239028373137375,0.5858338436415595,0.5866503368034293,1.2608695652173914,1.3170034700959379,0.13002653602776076,0.5719534598897734,5.604,1.6690059745280104,0
6,1.676670104555186,1.6811953519991305,0.12737293325168403,0.589303939579506,0.5878750765462339,1.2804654011022658,1.3229230455194938,0.13247601551337007,0.5827719942845478,6.256,1.6690059745280104,1
7,1.6718128491577067,1.6772533250988977,0.12471933047560727,0.5895080628699735,0.5905286793223107,1.2729128393549705,1.2947540314349868,0.12329046744233517,0.5774647887323944,5.823,1.6690059745280104,2
8,1.6658084749464401,1.6712260066453086,0.1263523167993468,0.5835884874464177,0.5844049806082874,1.2614819350887936,1.2792406613594611,0.1257399469279445,0.546846295162278,5.527,1.6690059745280104,3
9,1.6594954047718176,1.680368342967052,0.12961828944682588,0.5903245560318432,0.5899163094509083,1.2702592365788936,1.295366401306389,0.12859767299448868,0.5707287201469687,5.815,1.6690059745280104,4
10,1.6537083173889915,1.6708200052334936,0.12410696060420494,0.5870585833843641,0.5844049806082874,1.2590324556031842,1.295366401306389,0.1257399469279445,0.5494998979383547,5.852,1.6690059745280104,5
11,1.6483570590849481,1.6764952099354906,0.13084302918963053,0.5737905695039804,0.575015309246785,1.2484180444988773,1.2586242090222495,0.1253317003470096,0.523780363339457,5.577,1.6690059745280104,6
12,1.646091667290882,1.6910857738195864,0.12288222086140028,0.5884874464176363,0.5878750765462339,1.2508675239844866,1.2900591957542356,0.1257399469279445,0.5707287201469687,6.06,1.6690059745280104,7
13,1.6387773901213998,1.687033153159396,0.1267605633802817,0.5856297203510921,0.5831802408654827,1.277811798326189,1.2967952643396612,0.12716880996121657,0.5652173913043478,5.924,1.6690059745280104,8
14,1.6358430772463501,1.685481633743867,0.12594407021841192,0.589303939579506,0.5870585833843641,1.273116962645438,1.2912839354970402,0.12471933047560727,0.5703204735660339,5.998,1.6690059745280104,9
15,1.6278259126163086,1.7006096296296798,0.12982241273729334,0.5921616656460502,0.5909369259032455,1.281077770973668,1.3070014288630332,0.131047152480098,0.5729740763421106,5.841,1.6690059745280104,10
16,1.623900028915805,1.6933977235018125,0.1267605633802817,0.5856297203510921,0.5839967340273525,1.2520922637272913,1.2861808532353542,0.1288017962849561,0.5570524596856501,6.277,1.6690059745280104,11
17,1.6141308301488653,1.6990738232833167,0.1341090018371096,0.5872627066748316,0.5852214737701572,1.2949581547254543,1.315166360481731,0.13288426209430496,0.561134925494999,5.556,1.6690059745280104,12
18,1.6150220743026702,1.7011361946790018,0.11777913859971423,0.5839967340273525,0.5811390079608083,1.247805674627475,1.2845478669116146,0.12349459073280261,0.5570524596856501,5.479,1.6690059745280104,13
19,1.6072907796999123,1.7072533125243738,0.1281894264135538,0.5827719942845478,0.5801183915084711,1.2761788120024495,1.2743417023882424,0.12451520718513982,0.5590936925903246,5.034,1.6690059745280104,14
